"Description","Price"
"Compare
ThinkCentre A70 (7099U3U) Desktop PC Celeron E3400(2.60GHz) 2GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Celeron E3400(2.60GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $399.99
now:
$359.99
$9.99 Shipping","$359.99"
"Compare
HP 505B (XZ831UT#ABA) Desktop PC Athlon II X2 220(2.80GHz) 1GB DDR3 250GB HDD Capacity NVIDIA GeForce 6150 SE Windows 7 Home Premium 32-bit
 Athlon II X2 220(2.80GHz...
 1GB DDR3 250GB HDD Capac...
 NVIDIA GeForce 6150 SE
now:
$369.00
$14.99 Shipping","$369.00"
"  (6)
Compare
Dual Core ATOM, ION2, Windows 7 Home Premium OS
ASUS Eee Box EB1012P-B022E Nettop Intel Atom D510(1.66GHz) 2GB DDR2 320GB HDD Capacity Next-generation NVIDIA ION graphics Windows 7 Home Premium 64-bit
 Intel Atom D510(1.66GHz)...
 2GB DDR2 320GB HDD Capac...
 Next-generation NVIDIA I...
was: $379.99
now:
$369.99
Free Shipping","$369.99"
"Compare
lenovo IdeaCentre H215(0893-1AU) Desktop PC Athlon II X2 215(2.7GHz) 2GB DDR3 320GB HDD Capacity Windows 7 Home Premium 32-bit
 Athlon II X2 215(2.7GHz)...
 2GB DDR3 320GB HDD Capac...
 Windows 7 Home Premium ...
now:
$369.99
$19.99 Shipping","$369.99"
"Compare
Windows 7 Professional OS loaded
ASUS Eee Box EB1007-B007F Nettop Intel Atom D410(1.66GHz) 2GB DDR2 250GB HDD Capacity Intel GMA 3150 Windows 7 Professional 32-bit
 Intel Atom D410(1.66GHz)...
 2GB DDR2 250GB HDD Capac...
 Intel GMA 3150
was: $389.99
now:
$370.37
Free Shipping","$370.37"
"Compare
HP 500B (XZ826UT#ABA) Desktop PC Pentium E5800(3.20GHz) 1GB DDR3 160GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium E5800(3.20GHz)
 1GB DDR3 160GB HDD Capac...
 Intel GMA 4500
was: $389.00
now:
$379.00
$19.99 Shipping","$379.00"
"Compare
ThinkCentre M70E (0830X01) Desktop PC Pentium E5500(2.80GHz) 1GB 250GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-Bit
 Pentium E5500(2.80GHz)
 1GB 250GB HDD Capacity
 Intel GMA 4500
was: $399.99
now:
$379.99
$14.99 Shipping","$379.99"
"Compare
ThinkCentre A70 (7844-P9U) Desktop PC Celeron E3400(2.60GHz) 2GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Celeron E3400(2.60GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $399.99
now:
$379.99
$9.99 Shipping","$379.99"
"Compare
lenovo H405 (77231NU) Desktop PC Athlon II X2 260(3.2GHz) 4GB DDR3 500GB HDD Capacity ATI Radeon 3000 Windows 7 Home Premium 64 bit
 Athlon II X2 260(3.2GHz)...
 4GB DDR3 500GB HDD Capac...
 ATI Radeon 3000
was: $399.99
now:
$379.99
$25.81 Shipping","$379.99"
"Compare
COMPAQ Presario CQ5720F (BV526AA#ABA) Desktop PC Athlon II X2 245(2.9GHz) 3GB DDR3 640GB HDD Capacity ATI Radeon 3000 IGP Windows 7 Home Premium 64-bit
 Athlon II X2 245(2.9GHz)...
 3GB DDR3 640GB HDD Capac...
 ATI Radeon 3000 IGP
was: $399.99
now:
$389.99
Free Shipping","$389.99"
